"ID","hydro_year","SPEI-12 Hydro avg","SPEI-12 September","SPEI-12 December","SPEI12anual_est","SPEI12sep_est","SPEI12dic_est"
"LQ","1997","1.83423285299978","2.16355575418483","2.2487231821285","2.00942721708689","2.11890643415598","2.15687272087853"
"ML","1997","1.8332866490871","2.26842867822165","2.37113153679374","2.00835318026893","2.22536389775142","2.27835187428765"
"MP","1997","1.70816325003585","2.06856465808156","2.20199102696711","1.86632550994401","2.02248010440327","2.11049530929159"
"UL","1997","1.7280979516033","2.0944874825635","2.26881664787128","1.88895340563511","2.04879460043666","2.17681365721546"
"UP","1997","1.66092273607026","2.02689045305699","2.23130473593823","1.81270276476318","1.98017623803338","2.13958649803301"
"UQ","1997","1.65225313624999","2.10574594875287","2.23187142286011","1.80286189507407","2.06022317235361","2.14014888323708"
"LL","1998","-0.408596703109176","-0.88438296887476","-1.64505018491433","-0.536410405655112","-0.975084017920651","-1.70734303048034"
"LP","1998","-0.106847493507482","-0.632729979894407","-1.1494722394707","-0.19389463652578","-0.719628769017166","-1.2155270149366"
"LQ","1998","-0.550684680076683","-1.12412035712365","-1.95134509592643","-0.697694581939441","-1.21844363162813","-2.01131285823457"
"ML","1998","0.383133068210894","0.0849668295166066","-0.522752663158967","0.362282690920812","0.00891182105562245","-0.593564864040284"
"MP","1998","0.314091584930601","0.0813475035269267","-0.617951270566032","0.283913648036509","0.00523781016744376","-0.688040819257265"
"UL","1998","0.775699731137639","0.662114944674915","0.0157801806710595","0.807885423946609","0.59478014715547","-0.0591200205458313"
"UP","1998","0.755263928382114","0.638212860969025","-0.00370135607972979","0.784688727896193","0.570516923550855","-0.07845367304093"
"UQ","1998","0.230551638857508","-0.0636662095205725","-0.863464826542802","0.189087388441601","-0.141966935188708","-0.931690682962115"
"LL","1999","-0.227205790119194","0.42007050239959","0.584010704464674","-0.330513435260905","0.349078621822204","0.504797067960474"
"LP","1999","0.15993129889741","0.809792580770457","0.87340789030245","0.108926184077433","0.744689065142572","0.791997441094302"
"LQ","1999","0.116281242718282","1.00730716308513","1.01334601831603","0.0593789704013217","0.945187922683271","0.930873299423065"
"ML","1999","0.362122813975247","0.91774659063603","1.03352548244505","0.338433934535916","0.854274167120011","0.950899581332886"
"MP","1999","0.316027812016555","0.831192724631426","0.923645895752602","0.286111460950187","0.766412546746048","0.841854090076614"
"UL","1999","0.303654824710711","0.664018092802387","0.858218467786787","0.272066873164579","0.59671205021203","0.776923321414952"
"UP","1999","0.555453405370763","0.952839277531294","1.14317235845882","0.557883643436469","0.889897074290097","1.05971412841616"
"UQ","1999","0.346546903260199","0.933824800743231","1.03464763288093","0.320753705827126","0.870595305134304","0.95201321352998"
"LL","2000","0.878698923073018","0.924184753803859","0.812743206883447","0.92479988908146","0.86080960538833","0.731793263007547"
"LP","2000","1.08257467533565","1.10322049969575","0.987980788042358","1.1562194185153","1.04255042720311","0.905700616495499"
"LQ","2000","1.28737288973494","1.32996783259374","1.21376399542007","1.38868603545816","1.27272371701124","1.12976990458658"
"ML","2000","1.13239125714966","1.16838769834095","1.01454021688228","1.21276626037097","1.10870224609349","0.932058432833501"
"MP","2000","1.08665083055781","1.13940506627098","1.00878099836474","1.16084626556769","1.07928171141473","0.926342932517185"
"UL","2000","1.11292571574147","1.20753313129233","1.06219043018326","1.19067090875183","1.14843913282211","0.97934693358492"
"UP","2000","1.26548263668488","1.38344373761172","1.20219163651196","1.36383839171528","1.32700759689702","1.1182853914016"
"UQ","2000","0.98731105987857","0.971135555215402","0.82868509964329","1.04808561242715","0.908469792972035","0.747614140932921"
"LL","2001","0.693093671351386","0.778912464693412","0.716935611328238","0.714119219422728","0.713342377107622","0.636712942468649"
"LP","2001","0.708577206285909","0.716799922978825","0.729938586034063","0.73169459230917","0.650291368383197","0.649617211653409"
"LQ","2001","0.759479103093045","0.810401153185915","0.770573805968121","0.789473376081468","0.745306832563085","0.689943969820223"
"ML","2001","0.78881564419411","0.809769028617103","0.833998716624681","0.822773307345875","0.744665157136466","0.752887422272296"
"MP","2001","0.715372810735452","0.725090680534588","0.731627129403816","0.739408288354328","0.658707392145073","0.651292937298223"
"UL","2001","0.584784095417938","0.470216546112994","0.547923013902683","0.591176933164927","0.399982329066996","0.468983318891221"
"UP","2001","0.891255470449939","0.802856878171617","0.836053670633299","0.939052836050541","0.737648570050954","0.754926777134505"
"UQ","2001","0.771442050959199","0.867850127455734","0.86520683337644","0.803052527771173","0.803623811355227","0.783858638353622"
"LL","2002","1.71687847084946","1.90551060383663","1.89511863247183","1.87621816405915","1.85696244383173","1.80595238172864"
"LP","2002","1.68031880587217","1.88540916439771","1.83192872855349","1.83471925910646","1.83655728895559","1.74324215207972"
"LQ","2002","1.66696968301449","1.85399251274022","1.82310769178469","1.81956665907534","1.80466595874968","1.73448807576038"
"ML","2002","1.56850284956151","1.73932052693315","1.66495425169105","1.70779687767842","1.68826137800024","1.57753517770161"
"MP","2002","1.69132459179472","1.904624375075","1.81801083069707","1.84721193550853","1.8560628249168","1.72942990492179"
"UL","2002","1.4058552027566","1.61896656770287","1.51788483115943","1.52317540371998","1.56608897410285","1.43158216046344"
"UP","2002","1.43350330191667","1.59002100588393","1.5171746118581","1.55455878318691","1.53670606977468","1.43087733243356"
"UQ","2002","1.6930726460988","1.86619437991978","1.78921360710381","1.84919615334702","1.81705218563325","1.70085128092011"
"LL","2003","0.0865350164892254","-0.470258943979195","-0.462684195834071","0.0256140052205044","-0.554702935680183","-0.533952376174013"
"LP","2003","0.11479752121411","-0.390862457247252","-0.409392507861866","0.0576947969353967","-0.474106836415277","-0.4810652251596"
"LQ","2003","0.394824967027705","-0.0593348451914682","-0.0413506764725951","0.375554174617847","-0.137570127675052","-0.115817197616208"
"ML","2003","0.106815340309596","-0.261111683018447","-0.38549430728743","0.0486342170072903","-0.342395639737907","-0.457348435715585"
"MP","2003","0.130349163977571","-0.282499831703929","-0.435680575200262","0.0753474790729322","-0.364106944929125","-0.507153739899984"
"UL","2003","0.074592185719649","-0.224674065519058","-0.415278165450111","0.0120576884632129","-0.305407481220612","-0.486906204748218"
"UP","2003","-0.211250384308929","-0.535838987703883","-0.795703107188906","-0.312402441366051","-0.621273837383637","-0.86444334250754"
"UQ","2003","0.0680351925828271","-0.371095018171245","-0.48552618681661","0.00461484030994405","-0.45404072835987","-0.556620973708276"
"LL","2004","0.423327352055493","0.679445396121095","0.872919893133003","0.407907254656399","0.61237244679686","0.791513148309119"
"LP","2004","0.545182207793802","0.756229731218091","0.950198262481952","0.54622479885293","0.690316927065374","0.868204897912494"
"LQ","2004","0.267444785300672","0.517519434675757","0.583443508180208","0.230964828472882","0.447999923535535","0.504234177260389"
"ML","2004","0.376691993482609","0.479537283340177","0.815056557716012","0.354971421845774","0.40944389460604","0.734089053204603"
"MP","2004","0.380196581393296","0.562576902553388","0.793671408645294","0.358949482385832","0.493738170946296","0.712866238701923"
"UL","2004","0.467065259818399","0.643040030597238","0.974708581879443","0.457554188735511","0.575417027554669","0.892529159588399"
"UP","2004","0.226198153789028","0.385802631333325","0.732994011108506","0.184145744058864","0.314292992737907","0.652649443010193"
"UQ","2004","0.32565776260548","0.554924611256732","0.735272116486746","0.297042425564798","0.485970260118812","0.654910255301005"
"LL","2005","0.973151576848317","1.10168593348714","1.14042719784543","1.03201317191609","1.04099267502075","1.05698980630434"
"LP","2005","0.902670858371893","1.00771972014407","1.02704284656544","0.952010452009698","0.945606713124049","0.944466155112358"
"LQ","2005","0.749556801509739","0.889237692765142","1.00374606231263","0.77821056361934","0.825334524356061","0.921346216641443"
"ML","2005","0.762050068902378","0.902591703719333","0.850955870796713","0.792391681427657","0.838890302914404","0.769715854765159"
"MP","2005","0.487648894377296","0.468999605937306","0.600045638961844","0.480918688784157","0.398747001973363","0.520710281343776"
"UL","2005","0.803159838250274","0.875776784126887","0.844562036310184","0.839055413490155","0.811670232981715","0.763370555846749"
"UP","2005","0.319986562093414","0.250912593263905","0.363095695304502","0.290605041328263","0.177364882369568","0.285559023616704"
"UQ","2005","0.546633431527831","0.566497882670292","0.700584941233918","0.547872084073977","0.497718393695757","0.62048639023566"
"LL","2006","0.869849074184835","0.744173151914772","0.854557668761407","0.914754418531213","0.678078183232713","0.773290311498102"
"LP","2006","0.784559255754585","0.619238651513044","0.779951283416745","0.817941877424314","0.55125603013185","0.699250262880752"
"LQ","2006","0.878490389667045","0.755528058312694","0.891811390486882","0.924563182645575","0.689604652486704","0.81026124039365"
"ML","2006","0.658995193119907","0.492231919380395","0.699868200804337","0.675414009513442","0.422330335663358","0.619775090579375"
"MP","2006","0.529309320794571","0.425179944856726","0.576067450424044","0.52820747212647","0.354265263554274","0.496914111124658"
"UL","2006","0.376139801364395","0.184402580359708","0.268135843304835","0.354344628130797","0.109849960453253","0.191320011415925"
"UP","2006","0.328521069237519","0.227943897467965","0.371828651982356","0.300292567212627","0.154049149362326","0.294225688460664"
"UQ","2006","0.436181500774364","0.254885761075337","0.392919954918795","0.42249800914672","0.181398081324673","0.315156887413716"
"LL","2007","-0.187226676055745","0.0813533981255025","-0.781535713914333","-0.285133110915974","0.00524379382832724","-0.850383493850021"
"LP","2007","0.019758712068681","0.157717767585793","-0.472802741135786","-0.0501838313286216","0.0827619631410676","-0.543994111644976"
"LQ","2007","-0.101687974254056","0.149997539169501","-0.654312087831632","-0.188038062095122","0.0749250887225818","-0.724125621726578"
"ML","2007","0.163579675819003","0.342039547027527","-0.205818564125391","0.113067459638759","0.26986868591994","-0.279036610291815"
"MP","2007","0.0151916106643389","0.168316697444841","-0.380912897010391","-0.0553679517850257","0.0935210337017792","-0.452801802902844"
"UL","2007","0.0960987364760772","0.210913718472964","-0.103519653983086","0.0364697914257377","0.136761659030238","-0.177514250704935"
"UP","2007","0.126234045938784","0.322640437776704","-0.156290552205661","0.0706764052962234","0.250176472836145","-0.229884565282308"
"UQ","2007","-0.190861152717693","-0.0355450483007086","-0.574707500556877","-0.289258608281461","-0.113420887442635","-0.645125312506952"
"LL","2008","-0.0437850002928908","0.155200126448406","0.259798830218136","-0.122312350046487","0.0802062826144554","0.183046284557144"
"LP","2008","0.307152775368298","0.54657079118644","0.659940799203225","0.276037399753336","0.477490221022126","0.580150777699804"
"LQ","2008","-0.0485332818644503","0.0559549538384398","0.183419799447511","-0.12770212825559","-0.0205383990770765","0.10724704665709"
"ML","2008","0.337496776139538","0.46798324047235","0.618779773165124","0.310480899295029","0.397715280101594","0.539302204820659"
"MP","2008","0.109150555931261","0.238642548157736","0.436781724521471","0.0512849221269269","0.164909447449627","0.358685702525484"
"UL","2008","0.419748211463795","0.504737631927644","0.672893585119479","0.403844569308504","0.43502499875644","0.593005239077864"
"UP","2008","0.0188730754080512","-0.000394215648879854","0.23341740194351","-0.0511891182103509","-0.0777389559836814","0.156865117582966"
"UQ","2008","0.14937160861202","0.357200558790328","0.500230208773627","0.0969398711898456","0.2852587675128","0.421652549626097"
"LL","2009","-0.366530695158722","-0.425744946240384","-0.448383192478054","-0.488661246390142","-0.509516369773966","-0.519759931668563"
"LP","2009","-0.0403208246319731","-0.122556004258875","-0.192012262924667","-0.118380161483459","-0.201746504005682","-0.265335112659877"
"LQ","2009","-0.0261583761670411","0.21193970622996","0.0931808413612434","-0.10230435490513","0.137803148578593","0.0176930920857704"
"ML","2009","-0.083920029756924","-0.144878373338938","-0.164261791096","-0.167869654087308","-0.22440614485703","-0.237795294534968"
"MP","2009","0.0205482098809154","0.00614774157223957","-0.0161180399565907","-0.0492876717305888","-0.0710981554233213","-0.0907761019277065"
"UL","2009","0.0851526316915011","0.039868900602359","0.056979305931503","0.0240448591311071","-0.0368674987231711","-0.0182336376553651"
"UP","2009","-0.0411364172145778","-0.0388580181839445","-0.017109676766149","-0.119305941276208","-0.116783913447455","-0.0917602112268136"
"UQ","2009","0.0637930093128388","0.0099080546216785","0.0193537127468805","-0.000200465312316216","-0.0672810272823381","-0.0555736151355285"
"LL","2010","0.0772589084970381","-0.103628793408032","0.156071232866457","0.0150846876204196","-0.182533319300261","0.0801060829189113"
"LP","2010","0.111904505251574","-0.154613758182631","0.250491270111766","0.0544109322027615","-0.234288622980948","0.173809378096645"
"LQ","2010","0.31842596640057","0.0327797604756709","0.426038241826081","0.288833607909299","-0.0440637496515325","0.348023773557722"
"ML","2010","-0.00949535321156801","-0.356557850722206","0.112529792830048","-0.083390144222864","-0.439283916831055","0.0368951657531488"
"MP","2010","0.137447918230542","-0.17532448896521","0.223386349616066","0.0834052807023917","-0.255312275068187","0.146910210927509"
"UL","2010","0.122903416614157","-0.197362935292411","0.246813700960988","0.0668958052863169","-0.27768370333841","0.170159725356342"
"UP","2010","0.133102525751191","-0.214170727205027","0.270162063137893","0.078472822224047","-0.294745446510833","0.193330850223568"
"UQ","2010","-0.00466576131422638","-0.305248869681286","0.021144651461233","-0.0779080705979412","-0.387199701277329","-0.0537962714287027"
"LL","2011","-0.515834108355925","-0.330816228728817","-0.700892338125457","-0.658135670109022","-0.413153361099751","-0.770352281555097"
"LP","2011","-0.232557385238462","-0.108547282176716","-0.41132341713688","-0.336588035160486","-0.187526122198109","-0.482981476911206"
"LQ","2011","-0.139097060899734","-0.0238303946926001","-0.383799496872768","-0.230501146262877","-0.10152923550795","-0.455666490598969"
"ML","2011","-0.440868138943713","-0.342430315260723","-0.695863599430012","-0.573041738278535","-0.424942926476327","-0.765361715991913"
"MP","2011","-0.277080555258345","-0.192954498039448","-0.489789873723463","-0.387126321055471","-0.273208658395396","-0.56085229498747"
"UL","2011","-0.298450667511743","-0.206656391921595","-0.570136390424083","-0.411383552564096","-0.287117576093115","-0.640588901650108"
"UP","2011","-0.286101241704513","-0.176852844725985","-0.614108295946576","-0.397365709454408","-0.256863722968185","-0.684227016640434"
"UQ","2011","-0.354423671981868","-0.258453476339424","-0.514440098344408","-0.474918554700044","-0.339697269845389","-0.585315399866922"
"LL","2012","-0.300155595379439","-0.759247523027336","-0.0122121964593791","-0.413318817550157","-0.848057883261476","-0.0868999076704814"
"LP","2012","-0.560934152404283","-0.967112141730248","-0.349981001970161","-0.709328766175057","-1.0590631573261","-0.422104711735308"
"LQ","2012","-0.159477880426082","-0.608723522417043","0.207551062947249","-0.253635430805884","-0.695259594643284","0.131195129846815"
"ML","2012","-0.326778760739272","-0.652719080660069","0.00864578918626066","-0.443538793840791","-0.739919887879449","-0.0662002548977493"
"MP","2012","-0.694131607963669","-1.06688184897481","-0.451998776328117","-0.860521304499232","-1.16034029891879","-0.523348069638283"
"UL","2012","-0.793716325583041","-1.11602531741627","-0.672518184482146","-0.973559997107409","-1.21022628284276","-0.742193515981324"
"UP","2012","-0.979313317461031","-1.25696207209699","-0.936627581077405","-1.18423129101102","-1.35329247050256","-1.00429805936423"
"UQ","2012","-0.75122452425954","-1.24679027673248","-0.428096752813161","-0.925327519444183","-1.34296698807072","-0.499627486273671"
"LL","2013","-0.582645692520986","-0.285168633208155","-1.03128109168254","-0.733973552724361","-0.366816069725529","-1.09823305560659"
"LP","2013","-0.564933949102617","-0.28864846684137","-0.845534415922539","-0.713868938605995","-0.370348480647877","-0.913896382006234"
"LQ","2013","-0.606893960227415","-0.343026254763544","-1.22852499494917","-0.761497780789398","-0.425547870111773","-1.29397968131257"
"ML","2013","-0.530260553831284","-0.274800442662962","-0.907539997697927","-0.674511139905007","-0.356291224750976","-0.975431279696131"
"MP","2013","-0.810315212587428","-0.606454077248955","-1.15873202843293","-0.992401407020307","-0.692955860113304","-1.2247165128835"
"UL","2013","-0.971184993161767","-0.785650222446694","-1.21747305541208","-1.17500482359866","-0.874859504729293","-1.28301163699757"
"UP","2013","-1.05649163419053","-0.913282080810077","-1.25672645197915","-1.27183646005059","-1.00441977054747","-1.3219670612122"
"UQ","2013","-0.78786022578242","-0.511858674364216","-1.24327346558954","-0.966912733540571","-0.596931202162855","-1.30861619638028"
"LL","2014","-1.39188486283388","-1.73283617661284","-1.3642298491467","-1.6525415820994","-1.83635662288309","-1.42865440058731"
"LP","2014","-0.978493421604949","-0.950810569082399","-0.816217459594636","-1.1833006265691","-1.04251528195554","-0.884801970558703"
"LQ","2014","-0.794298034680238","-0.685694615474229","-0.491029250305799","-0.974220295568834","-0.773393654623918","-0.562082263467881"
"ML","2014","-0.877055767203518","-0.797311702818999","-0.70881974523086","-1.06815866393781","-0.886697180026377","-0.778219511749698"
"MP","2014","-0.953546582139686","-0.853668426557116","-0.757891297871531","-1.15498344914196","-0.943905405322002","-0.82691856246043"
"UL","2014","-0.904681512900188","-0.748972542469808","-0.69166754113116","-1.09951666997055","-0.837627656597223","-0.761197509952269"
"UP","2014","-1.06355117314855","-0.96419994729941","-0.94246301742025","-1.27984974836738","-1.05610696214559","-1.01008919893669"
"UQ","2014","-0.852304657093429","-0.721507561679992","-0.625538341788483","-1.04006365905825","-0.809747703602349","-0.695570297057032"
"LL","2015","-0.32142903917005","-0.0493322399443351","0.253705772749505","-0.437466320609367","-0.127416391677546","0.176999479459676"
"LP","2015","-0.187058009450206","-0.0571447329271769","0.446598032393619","-0.284941657317143","-0.135346924700718","0.368427494849816"
"LQ","2015","-0.128801847043979","0.0561571600026284","0.275467021837322","-0.218815040782072","-0.0203331377519004","0.198595539005959"
"ML","2015","-0.313323947575942","-0.344844798959072","0.173166545936969","-0.428266224659209","-0.427393890943843","0.0970716255466924"
"MP","2015","-0.510603847220449","-0.565338615607973","-0.0845084457177608","-0.652198796511475","-0.651219179258308","-0.158647356433935"
"UL","2015","-0.424112488127916","-0.602679374848379","-0.0632206702764926","-0.554022385637941","-0.689124125210481","-0.137521176397932"
"UP","2015","-0.480405205010753","-0.606430577473946","-0.00786171243817107","-0.617920293589235","-0.692932005276934","-0.0825824481534282"
"UQ","2015","-0.237588523348654","-0.202179602985899","0.306693001816886","-0.342298884052793","-0.282573146732311","0.229584482715409"
"LL","2016","0.611180556309531","0.573011692666067","0.36910586149246","0.621139577032365","0.50433062175044","0.291523566660828"
"LP","2016","0.665536574333527","0.609458096735355","0.33469564594222","0.682839136560199","0.541327699595138","0.257374558898244"
"LQ","2016","0.262645122282017","0.220958120220503","-0.00247616240047816","0.225516727142091","0.146957823037273","-0.077237779801251"
"ML","2016","0.482516138293356","0.310682176439119","0.296839773945176","0.475092493248584","0.238037532469002","0.219806050651062"
"MP","2016","0.348785179556542","0.255704038213075","0.176942426010138","0.323294375041067","0.182228721925208","0.100818842931627"
"UL","2016","0.343753234668444","0.252332554027","0.192450925660953","0.317582610374514","0.178806297516828","0.116209617633068"
"UP","2016","0.372358692545205","0.288552211844234","0.120509695859867","0.350052688486362","0.215573203168892","0.0448144933758456"
"UQ","2016","0.583611802196167","0.343278070241529","0.471587104100911","0.589846262191405","0.271125922153006","0.393226874628945"
"LL","2017","0.278554928018803","0.299613591093749","0.462608797564638","0.243575960357074","0.226801710332069","0.38431672237621"
"LP","2017","-0.0217575433408689","0.0251879057775438","0.0748999247026637","-0.0973089660447722","-0.051770310735536","-0.000449054218705406"
"LQ","2017","0.560412506030424","0.80189554360468","0.777696941156211","0.563512722561069","0.736672710546676","0.697013033321929"
"ML","2017","-0.0276429702394915","0.20815183935212","0.0108720844487367","-0.103989518824006","0.133958050294593","-0.0639908594323504"
"MP","2017","-0.13667739253796","-0.0415415591330585","-0.0810488555406031","-0.227754578770406","-0.119508000389066","-0.155214027989868"
